left_len,right_len,total_empty,n,first,current_player_result,black_initial_result
10,29,39,40,10,L,W
10,30,40,41,10,L,W
10,31,41,42,10,L,W
10,32,42,43,10,L,W
10,33,43,44,10,L,W
10,34,44,45,10,L,W
11,1,12,13,11,W,L
11,2,13,14,11,L,W
11,3,14,15,11,W,L
11,4,15,16,11,L,W
11,5,16,17,11,L,W
11,6,17,18,11,L,W
11,7,18,19,11,W,L
11,8,19,20,11,L,W
11,9,20,21,11,W,L
11,10,21,22,11,L,W
11,11,22,23,11,L,W
11,12,23,24,11,L,W
11,13,24,25,11,W,L
11,14,25,26,11,L,W
11,15,26,27,11,L,W
11,16,27,28,11,L,W
11,17,28,29,11,L,W
11,18,29,30,11,L,W
11,19,30,31,11,L,W
11,20,31,32,11,L,W
11,21,32,33,11,L,W
11,22,33,34,11,L,W
11,23,34,35,11,L,W
11,24,35,36,11,L,W
11,25,36,37,11,L,W
11,26,37,38,11,L,W
11,27,38,39,11,L,W
11,28,39,40,11,L,W
11,29,40,41,11,L,W
11,30,41,42,11,L,W
11,31,42,43,11,L,W
11,32,43,44,11,L,W
11,33,44,45,11,L,W
12,1,13,14,12,W,L
12,2,14,15,12,L,W
12,3,15,16,12,L,W
12,4,16,17,12,L,W
12,5,17,18,12,L,W
12,6,18,19,12,L,W
12,7,19,20,12,L,W
12,8,20,21,12,L,W
12,9,21,22,12,L,W
12,10,22,23,12,W,L
12,11,23,24,12,L,W
12,12,24,25,12,L,W
12,13,25,26,12,L,W
12,14,26,27,12,W,L
12,15,27,28,12,L,W
12,16,28,29,12,L,W
12,17,29,30,12,L,W
12,18,30,31,12,L,W
12,19,31,32,12,L,W
12,20,32,33,12,L,W
12,21,33,34,12,L,W
12,22,34,35,12,L,W
12,23,35,36,12,L,W
12,24,36,37,12,L,W
12,25,37,38,12,L,W
12,26,38,39,12,L,W
12,27,39,40,12,L,W
12,28,40,41,12,L,W
12,29,41,42,12,L,W
12,30,42,43,12,L,W
12,31,43,44,12,L,W
12,32,44,45,12,L,W
13,1,14,15,13,W,L
13,2,15,16,13,L,W
13,3,16,17,13,L,W
13,4,17,18,13,L,W
13,5,18,19,13,L,W
13,6,19,20,13,L,W
13,7,20,21,13,L,W
13,8,21,22,13,L,W
13,9,22,23,13,L,W
13,10,23,24,13,L,W
13,11,24,25,13,W,L
13,12,25,26,13,L,W
13,13,26,27,13,L,W
13,14,27,28,13,L,W
13,15,28,29,13,W,L
13,16,29,30,13,L,W
13,17,30,31,13,L,W
13,18,31,32,13,L,W
13,19,32,33,13,L,W
13,20,33,34,13,L,W
13,21,34,35,13,L,W
13,22,35,36,13,L,W
13,23,36,37,13,L,W
13,24,37,38,13,L,W
13,25,38,39,13,L,W
13,26,39,40,13,L,W
13,27,40,41,13,L,W
13,28,41,42,13,L,W
13,29,42,43,13,L,W
13,30,43,44,13,L,W
13,31,44,45,13,L,W
14,1,15,16,14,W,L
14,2,16,17,14,L,W
14,3,17,18,14,L,W
14,4,18,19,14,W,L
14,5,19,20,14,L,W
14,6,20,21,14,L,W
14,7,21,22,14,L,W
14,8,22,23,14,L,W
14,9,23,24,14,L,W
14,10,24,25,14,L,W
14,11,25,26,14,L,W
14,12,26,27,14,W,L
14,13,27,28,14,L,W
14,14,28,29,14,L,W
14,15,29,30,14,L,W
14,16,30,31,14,W,L
14,17,31,32,14,L,W
14,18,32,33,14,L,W
14,19,33,34,14,L,W
14,20,34,35,14,L,W
14,21,35,36,14,L,W
14,22,36,37,14,L,W
14,23,37,38,14,L,W
14,24,38,39,14,L,W
14,25,39,40,14,L,W
14,26,40,41,14,L,W
14,27,41,42,14,L,W
14,28,42,43,14,L,W
14,29,43,44,14,L,W
14,30,44,45,14,L,W
15,1,16,17,15,W,L
15,2,17,18,15,L,W
15,3,18,19,15,L,W
15,4,19,20,15,L,W
15,5,20,21,15,L,W
15,6,21,22,15,L,W
15,7,22,23,15,L,W
15,8,23,24,15,L,W
15,9,24,25,15,L,W
15,10,25,26,15,L,W
15,11,26,27,15,L,W
15,12,27,28,15,L,W
15,13,28,29,15,W,L
15,14,29,30,15,L,W
15,15,30,31,15,L,W
15,16,31,32,15,L,W
15,17,32,33,15,W,L
15,18,33,34,15,L,W
15,19,34,35,15,L,W
15,20,35,36,15,L,W
15,21,36,37,15,L,W
15,22,37,38,15,L,W
15,23,38,39,15,L,W
15,24,39,40,15,L,W
15,25,40,41,15,L,W
15,26,41,42,15,L,W
15,27,42,43,15,L,W
15,28,43,44,15,L,W
15,29,44,45,15,L,W
16,1,17,18,16,W,L
16,2,18,19,16,L,W
16,3,19,20,16,L,W
16,4,20,21,16,L,W
16,5,21,22,16,L,W
16,6,22,23,16,L,W
16,7,23,24,16,L,W
16,8,24,25,16,L,W
16,9,25,26,16,L,W
16,10,26,27,16,L,W
16,11,27,28,16,L,W
16,12,28,29,16,L,W
16,13,29,30,16,L,W
16,14,30,31,16,W,L
16,15,31,32,16,L,W
16,16,32,33,16,L,W
16,17,33,34,16,L,W
16,18,34,35,16,W,L
16,19,35,36,16,L,W
16,20,36,37,16,L,W
16,21,37,38,16,L,W
16,22,38,39,16,L,W
16,23,39,40,16,L,W
16,24,40,41,16,L,W
16,25,41,42,16,L,W
